room,noted_date,temperature,in_out,date
Room Admin,2018-12-07 22:55:00,29,In,2018-12-07
Room Admin,2018-12-07 22:55:00,29,In,2018-12-07
Room Admin,2018-12-07 22:51:00,29,In,2018-12-07
Room Admin,2018-12-07 22:51:00,29,In,2018-12-07
Room Admin,2018-12-07 22:47:00,29,In,2018-12-07
Room Admin,2018-12-07 22:47:00,29,In,2018-12-07
Room Admin,2018-12-07 22:45:00,29,In,2018-12-07
Room Admin,2018-12-07 22:44:00,29,In,2018-12-07
Room Admin,2018-12-07 22:43:00,29,In,2018-12-07
Room Admin,2018-12-07 22:42:00,29,In,2018-12-07
Room Admin,2018-12-07 22:39:00,29,In,2018-12-07
Room Admin,2018-12-07 22:38:00,29,In,2018-12-07
Room Admin,2018-12-07 22:37:00,29,In,2018-12-07
Room Admin,2018-12-07 22:36:00,29,In,2018-12-07
Room Admin,2018-12-07 22:35:00,29,In,2018-12-07
Room Admin,2018-12-07 22:34:00,29,In,2018-12-07
Room Admin,2018-12-07 22:25:00,29,In,2018-12-07
Room Admin,2018-12-07 22:24:00,29,In,2018-12-07
Room Admin,2018-12-07 22:23:00,29,In,2018-12-07
Room Admin,2018-12-07 22:22:00,29,In,2018-12-07
Room Admin,2018-12-07 22:14:00,29,In,2018-12-07
Room Admin,2018-12-07 22:14:00,29,In,2018-12-07
Room Admin,2018-12-07 22:08:00,29,In,2018-12-07
Room Admin,2018-12-07 22:08:00,29,In,2018-12-07
Room Admin,2018-12-07 22:04:00,29,In,2018-12-07
Room Admin,2018-12-07 22:04:00,29,In,2018-12-07
Room Admin,2018-12-07 22:00:00,29,In,2018-12-07
Room Admin,2018-12-07 22:00:00,29,In,2018-12-07
Room Admin,2018-12-07 21:58:00,29,In,2018-12-07
Room Admin,2018-12-07 21:58:00,29,In,2018-12-07
